rism_id,title,title_alt,genre,collection,siglum,shelfmark,notes
600038399,Vespers,,Vespers,,A-Ed,G 1,
600038463,Litanies,,Litanies,,A-Ed,G 61/1,added and split manually
600038463,Sub tuum praesidium,,Litanies,,A-Ed,G 61/2,added and split manually
600038567,Salve regina,,Antiphons,,A-Ed,K 8,
600090622,Masses,Missa S Antonii,Masses,,A-HE,III a,
600090618,Litanies,,Litanies,,A-HE,III b 3,
600090619,Litanies,,Litanies,,A-HE,III b 3,
600090621,Masses,,Masses,,A-HE,VIII a 5,
600090623,Masses,Missa S Francisci,Masses,,A-HE,VIII a 5,
600090487,Masses,,Masses,,A-HE,VIII a 6,added manually
600090617,Confitebor,,Psalms,,A-HE,VIII b 3,
600090620,Magnificat,,Sacred songs,,A-HE,VIII b 3,
600178673,Masses,,Masses,,A-KR,A 3/15,
600178672,Masses,,Masses,,A-KR,B 12/316,
600178666,Masses,,Masses,,A-KR,B 39/570,
600178665,Masses,,Masses,,A-KR,B 39/571,
600178670,Masses,,Masses,,A-KR,B 39/572,
600178664,Masses,,Masses,,A-KR,B 39/573,
600178668,Masses,,Masses,,A-KR,B 39/574,
600178669,Masses,,Masses,,A-KR,B 39/575,
600178667,Masses,,Masses,,A-KR,B 39/577,
600178671,Masses,,Masses,,A-KR,C 11/678,
600178674,Requiems,,Requiems,,A-KR,D 41/11,
600172160,Vespers,,Vespers,,A-KR,E 11/31,added manually
600178682,Vespers,Vesperae de Confessore,Vespers,,A-KR,E 12/38,
600178681,Vespers,,Vespers,,A-KR,E 26/172,
600178675,Litanies,,Litanies,,A-KR,E 48/130,
600178678,Litanies,,Litanies,,A-KR,E 48/131/1,shelfmark changed manually
600178679,Sub tuum praesidium,,Sacred songs,,A-KR,E 48/131/2,shelfmark changed manually
600178680,Miserere,,Psalms,,A-KR,F 21/12,
600178676,Salve regina,,Antiphons,,A-KR,F 5/128,
603000421,Sonatas,,Sonatas,,A-LA,112,
603000427,Sonatas,,Trio sonatas,,A-LA,251/1,duplicated manually
603000427,Sonatas,,Trio sonatas,,A-LA,251/2,duplicated manually
603000428,Sonatas,,Trio sonatas,,A-LA,252,
603000429,Divertimentos,,Divertimentos,,A-LA,253,
1001169626,Sarabandes,,Sarabandes,,A-LA,273,
603000432,Symphonies,,Symphonies,,A-LA,360,
603002305,Altitudo gloriae Jesu,,Motets,,A-LA,525,
603002307,Vespers,,Vespers,,A-LA,582,
603002308,Vespers,,Vespers,,A-LA,583,
603001570,Masses,,Masses,,A-LA,M 363,
603001571,Masses,,Masses,,A-LA,M 364,
603001574,Masses,,Masses,,A-LA,M 397,
603001575,Masses,Missa S Caeciliae,Masses,,A-LA,M 412,
603001576,Masses,Missa S Elisabethae Viduae,Masses,,A-LA,M 456,
603001577,Masses,Missa S Anna Matris Beatae Virginis Mariae,Masses,,A-LA,M 457,
603001578,Masses,,Masses,,A-LA,M 458,
603001579,Masses,,Masses,,A-LA,M 459,
600251988,Litanies,,Litanies,,A-MT,52 L.,
600033227,Masses,,Masses,,A-SEI,F XXIV 14,shelfmark changed manually
600026708,Stabat mater,,Sequences,,A-SEI,R 34,
600025926,Symphonies,,Symphonies,,A-SEI,V 1034,
600077630,Te Deum,,Hymns,,A-WIL,1091,
600077631,Masses,Missa Sanctae Elisabethae Viduae,Masses,,A-WIL,1092,
600077632,Masses,,Masses,,A-WIL,1093,
600077633,Masses,,Masses,,A-WIL,1094,
600077634,Litanies,,Litanies,,A-WIL,1095,
600077635,Litanies,Litaniae Lauretanae,Litanies,,A-WIL,1096,
600077636,Litanies,Litaniae de Beatae Mariae Virginis,Litanies,,A-WIL,1097,
600137135,Messe in F,,Chormusik,,A-Wn,Mus.Hs.14216,
600137213,Alma redemptoris a 2 (soprano et alto) con violini unisono,,Vocal music,,A-Wn,Mus.Hs.15667,
600137275,Alma redemptoris a 2 (tenore e basso) con violini unisoni,,Vocal music,,A-Wn,Mus.Hs.15668,
600137203,"Alma redemptoris a 3: alto, tenore, basso",,Vocal music,,A-Wn,Mus.Hs.15669,
600137206,Alma redemptoris a 4 in pieno,,Chormusik,,A-Wn,Mus.Hs.15670,
600137149,"Ave regina a 2: alto e tenore, con violini unisoni",,Vocal music,,A-Wn,Mus.Hs.15671,
600137159,Ave regina a tenore solo con 2 violini,,Vocal music,,A-Wn,Mus.Hs.15672,
600137175,Ave regina,,Vocal music,,A-Wn,Mus.Hs.15673,
600137115,Ave regina a 4 voci in pieno con stromenti,,Chormusik,,A-Wn,Mus.Hs.15674,
600137294,Ave regina a 4 in pieno,,Chormusik,,A-Wn,Mus.Hs.15675/1,duplicated manually
600137294,Ave regina a 4 in pieno,,Chormusik,,A-Wn,Mus.Hs.15675/2,duplicated manually
600137165,Ave regina a 2: alto e tenore,,Vocal music,,A-Wn,Mus.Hs.15676,
600137198,Confitebor (tibi domine) a 4 voci con 2 violini in concerto,,Chormusik,,A-Wn,Mus.Hs.15677,
600137241,"Confitebor (tibi domine) a 4 voci, violino primo e trombone primo in concerto con ripieni",,Chormusik,,A-Wn,Mus.Hs.15678,
600137282,Dixit Dominus,,Chormusik,,A-Wn,Mus.Hs.15679,
600137127,Dixit Dominus,,Chormusik,,A-Wn,Mus.Hs.15680,
600138880,Inno Per Il Festo di S:ta Teresia (Regis superni nuntia),,Vocal music,,A-Wn,Mus.Hs.15681,
600137140,Hymnus de sancto Joanne Nepomuceno (Invietus heros numinis),,Vocal music,,A-Wn,Mus.Hs.15682,
600138754,Hymnus de sancto Joanne Nepomuceno in secundis vesperis (Jam fasces lictor ferat),,Vocal music,,A-Wn,Mus.Hs.15683,
600138782,Jam sol recedit igneus,,Hymns,,A-Wn,Mus.Hs.15684,
600138862,Hymnus pro festo omnium Sanctorum (Placare Christi servulis),,Vocal music,,A-Wn,Mus.Hs.15685,
600138901,Pange lingua a 4 voci con violini e 2 tromboni in concerto,,Chormusik,,A-Wn,Mus.Hs.15686,
600138990,"Lauda Jerusalem, a 4 voci concertanti, 2 violini concertanti, 2 tromboni ripieni, e ripieni",,Chormusik,,A-Wn,Mus.Hs.15687,
600139024,Laudate pueri et Laetatus sum a 4 voci e 2 violini in concerto,,Chormusik,,A-Wn,Mus.Hs.15688/1,duplicated manually
600139024,Laudate pueri et Laetatus sum a 4 voci e 2 violini in concerto,,Chormusik,,A-Wn,Mus.Hs.15688/2,duplicated manually
600138732,Laudate pueri a 5 voci con 2 violini in concerto,,Chormusik,,A-Wn,Mus.Hs.15689,
600138717,Lectiones ad officium defunctorum a 4 voci con violini e tromboni in concerto,,Chormusik,,A-Wn,Mus.Hs.15690,
600138746,Litanie breve a 4 voci in pieno,,Chormusik,,A-Wn,Mus.Hs.15691,
600138807,Litaniae della madonna santissima,,Chormusik,,A-Wn,Mus.Hs.15692,
600138848,"Litaniae a 4 voci concerti, 2 violini, violino primo obligato e ripieni",,Chormusik,,A-Wn,Mus.Hs.15693/1,split manually
600138848,Sub tuum praesidium,,Chormusik,,A-Wn,Mus.Hs.15693/2,split manually
600101474,Lytaniae lauretanae,,Chormusik,,A-Wn,Mus.Hs.15694/1,split manually
600101474,Sub tuum praesidium,,Chormusik,,A-Wn,Mus.Hs.15694/2,split manually
600138844,"Litaniae a 4 voci concertanti, 2 violini concertanti e organo concertante",,Chormusik,,A-Wn,Mus.Hs.15695/1,split manually
600138844,Sub tuum,,Chormusik,,A-Wn,Mus.Hs.15695/2,split manually
600138872,Litanie breve a 5 voci in pieno,,Chormusik,,A-Wn,Mus.Hs.15696,
600138949,Magnificat,,Canticles,,A-Wn,Mus.Hs.15697,
600138978,Magnificat,,Canticles,,A-Wn,Mus.Hs.15698,
600138964,Memento (domine David) a 4 voci con 2 violini in concerto,,Chormusik,,A-Wn,Mus.Hs.15699,
600138995,Memento (Domine David) a 4 voci in pieno con stromenti,,Chormusik,,A-Wn,Mus.Hs.15700,
600138744,"Miserere (mei Deus) a 4 voci, violino I., alto viola, e tromboni in concerti",,Chormusik,,A-Wn,Mus.Hs.15701,
600138803,Motettum de tempore (Vilescit mihi mundus),,Vocal music,,A-Wn,Mus.Hs.15702,
600138788,Motetto del santissimo sacramento (Voluntarie sacrificabo tibi),,Vocal music,,A-Wn,Mus.Hs.15703,
600138833,Motettum de B. M. V. (O admirabile commercium),,Vocal music,,A-Wn,Mus.Hs.15704,
600138908,"Motetto per ogni tempo, (Bonum est confiteri)",,Vocal music,,A-Wn,Mus.Hs.15705,
600138938,Motetto per ogni tempo (Domine in virtute tua),,Vocal music,,A-Wn,Mus.Hs.15706,
600138929,Motetto del santissimo (Domine Deus creator),,Vocal music,,A-Wn,Mus.Hs.15707,
600138959,Motettum de B. M. V. (Maria gustum sentio),,Vocal music,,A-Wn,Mus.Hs.15708,
600139027,Motettum de B. V. M. (Per labra nectar bibitur),,Vocal music,,A-Wn,Mus.Hs.15709,
600138737,Motettum de tempore (Firmamentum et refugium),,Vocal music,,A-Wn,Mus.Hs.15710,
600138727,Motetto de Tempore (Almo factori omnium),,Chormusik,,A-Wn,Mus.Hs.15711,
600138747,Motetto del santissimo sacramento (Venite ad me omnes),,Chormusik,,A-Wn,Mus.Hs.15712,
600138820,"Motettum de sancta Maria Magdalena (Mulier, quae erat in civitate)",,Chormusik,,A-Wn,Mus.Hs.15713,
600138857,"Motetto del Santissimo (O, quam suavis est)",,Vocal music,,A-Wn,Mus.Hs.15714,
600138897,Motetto del santissimo (Adeste animae),,Chormusik,,A-Wn,Mus.Hs.15715,
600138877,Motetto de tempore (O altitudo divitiarum),,Vocal music,,A-Wn,Mus.Hs.15716,
600138920,Motettum de tempore (Qui charitate accensus),,Vocal music,,A-Wn,Mus.Hs.15717,
600138980,Motetto [Audite insulae] de s. Joanne Baptista,,Vocal music,,A-Wn,Mus.Hs.15718,
600139013,Motetto della madonna (Laudes Mariae resonas),,Chormusik,,A-Wn,Mus.Hs.15719,
600139002,Motetto per il festo di natale del signor nostro (O magnum mysterium),,Chormusik,,A-Wn,Mus.Hs.15720,
600138711,"Offertorium pro sabbato in albis proprium, alias motettum de tempore (Benedictus qui venit)",,Chormusik,,A-Wn,Mus.Hs.15721,
600138768,Nisi Dominus,,Chormusik,,A-Wn,Mus.Hs.15722,
600137268,De profundis,,Chormusik,,A-Wn,Mus.Hs.15723,
600137260,De profundis et Memento (Domine David),,Chormusik,,A-Wn,Mus.Hs.15724/1,duplicated manually
600137260,De profundis et Memento (Domine David),,Chormusik,,A-Wn,Mus.Hs.15724/2,duplicated manually
600138806,"Stabat mater, ovvero sequenza per la messa dei 7 dolori della madonna",,Chormusik,,A-Wn,Mus.Hs.15725,
600138835,Vesperae de Confessore,,Vespers,,A-Wn,Mus.Hs.15726,
600138915,Vespers,,Vespers,,A-Wn,Mus.Hs.15727,
600138941,Vesperae de Confessore,,Vespers,,A-Wn,Mus.Hs.15728,
600138621,Missa a 4 voci con Stromenti ,,Masses,,A-Wn,Mus.Hs.17333,added manually
600138923,"Hymnus ""Te lucis ante terminum""",,Vocal music,,A-Wn,Mus.Hs.15772,
600137299,Ave regina coelorum,,Chormusik,,A-Wn,Mus.Hs.15774,
600137151,Messa della morte,,Chormusik,,A-Wn,Mus.Hs.16934,
600137120,Missa Sti. Stephani,,Chormusik,,A-Wn,Mus.Hs.18992,
600137126,Missa a 4 voci con violini e tromboni in concerti,,Chormusik,,A-Wn,Mus.Hs.19009,
600137195,"Psalmi vesperales tres, videlicet: ""Cum invocarem"", ""In te Domine speravi"", ""Ecce nunc benedicite"" et canticum Simeonis: ""Nunc dimittis servum tuum""",,Chormusik,,A-Wn,Mus.Hs.19194/1,duplicated manually
600137195,"Psalmi vesperales tres, videlicet: ""Cum invocarem"", ""In te Domine speravi"", ""Ecce nunc benedicite"" et canticum Simeonis: ""Nunc dimittis servum tuum""",,Chormusik,,A-Wn,Mus.Hs.19194/2,duplicated manually
600137195,"Psalmi vesperales tres, videlicet: ""Cum invocarem"", ""In te Domine speravi"", ""Ecce nunc benedicite"" et canticum Simeonis: ""Nunc dimittis servum tuum""",,Chormusik,,A-Wn,Mus.Hs.19194/3,duplicated manually
600112774,Fugen für die Orgel,,"Solo, Instrumentalmusik",,A-Wn,Mus.Hs.24412,added manually
600138936,Sonata (in e) à 2 Violini e 2 Tromboni in Concerti,,Chamber music,,A-Wn,Mus.Hs.3741,
600138962,2 Sonatas,,,yes,A-Wn,Mus.Hs.3742,
1001310685,2 Sonaten für 2 konzertierende Violinen,,Chamber music,,A-Wn,Mus.Hs.3742/1,duplicated manually
1001310688,2 Sonaten für 2 konzertierende Violinen,,Chamber music,,A-Wn,Mus.Hs.3742/2,duplicated manually
600138992,1 Streichquartett und 2 Streichtrios,,Chamber music,,A-Wn,Mus.Hs.3743/1,duplicated manually
600138992,1 Streichquartett und 2 Streichtrios,,Chamber music,,A-Wn,Mus.Hs.3743/2,duplicated manually
600138992,1 Streichquartett und 2 Streichtrios,,Chamber music,,A-Wn,Mus.Hs.3743/3,duplicated manually
600138741,Sonata à 3,,Chamber music,,A-Wn,Mus.Hs.3744/1,duplicated manually
600138741,Sonata à 3,,Chamber music,,A-Wn,Mus.Hs.3744/2,duplicated manually
600138741,Sonata à 3,,Chamber music,,A-Wn,Mus.Hs.3744/3,duplicated manually
600138741,Sonata à 3,,Chamber music,,A-Wn,Mus.Hs.3744/4,duplicated manually
